PostalCode,City,State
1746,SKJEBERG,OF
1747,SKJEBERG,OF
1751,HALDEN,OF
1752,HALDEN,OF
1753,HALDEN,OF
1754,HALDEN,OF
1757,HALDEN,OF
1759,HALDEN,OF
1760,HALDEN,OF
1761,HALDEN,OF
1762,HALDEN,OF
1763,HALDEN,OF
1764,HALDEN,OF
1765,HALDEN,OF
1766,HALDEN,OF
1767,HALDEN,OF
1768,HALDEN,OF
1769,HALDEN,OF
1771,HALDEN,OF
1772,HALDEN,OF
1776,HALDEN,OF
1777,HALDEN,OF
1778,HALDEN,OF
1779,HALDEN,OF
1781,HALDEN,OF
1782,HALDEN,OF
1783,HALDEN,OF
1784,HALDEN,OF
1785,HALDEN,OF
1786,HALDEN,OF
1787,HALDEN,OF
1788,HALDEN,OF
1789,BERG I ØSTFOLD,OF
1790,TISTEDAL,OF
1791,TISTEDAL,OF
1792,TISTEDAL,OF
1793,TISTEDAL,OF
1794,SPONVIKA,OF
1796,KORNSJØ,OF
1798,AREMARK,OF
1799,AREMARK,OF
1801,ASKIM,OF
1802,ASKIM,OF
1803,ASKIM,OF
1804,SPYDEBERG,OF
1805,TOMTER,OF
1806,SKIPTVET,OF
1807,ASKIM,OF
1808,ASKIM,OF
1809,ASKIM,OF
1811,ASKIM,OF
1812,ASKIM,OF
1813,ASKIM,OF
1814,ASKIM,OF
1815,ASKIM,OF
1816,SKIPTVET,OF
1820,SPYDEBERG,OF
1821,SPYDEBERG,OF
1823,KNAPSTAD,OF
1825,TOMTER,OF
1827,HOBØL,OF
1828,HOBØL,OF
1830,ASKIM,OF
1831,ASKIM,OF
1832,ASKIM,OF
1833,ASKIM,OF
1850,MYSEN,OF
1851,MYSEN,OF
1852,MYSEN,OF
1859,SLITU,OF
1860,TRØGSTAD,OF
1861,TRØGSTAD,OF
1866,BÅSTAD,OF
1867,BÅSTAD,OF
1870,ØRJE,OF
1871,ØRJE,OF
1875,OTTEID,OF
1878,HÆRLAND,OF
1880,EIDSBERG,OF
1890,RAKKESTAD,OF
1891,RAKKESTAD,OF
1892,DEGERNES,OF
1893,DEGERNES,OF
1894,RAKKESTAD,OF
1900,FETSUND,AK
1901,FETSUND,AK
1903,GAN,AK
1910,ENEBAKKNESET,AK
1911,FLATEBY,AK
1912,ENEBAKK,AK
1914,YTRE ENEBAKK,AK
1916,FLATEBY,AK
1917,YTRE ENEBAKK,AK
1920,SØRUMSAND,AK
1921,SØRUMSAND,AK
1923,SØRUM,AK
1924,SØRUM,AK
1925,BLAKER,AK
1926,BLAKER,AK
1927,RÅNÅSFOSS,AK
1928,AULI,AK
1929,AULI,AK
1930,AURSKOG,AK
1931,AURSKOG,AK
1940,BJØRKELANGEN,AK
1941,BJØRKELANGEN,AK
1950,RØMSKOG,AK
1951,RØMSKOG,AK
1954,SETSKOG,AK
1960,LØKEN,AK
1961,LØKEN,AK
1963,FOSSER,AK
1970,HEMNES,AK
1971,HEMNES,AK
2000,LILLESTRØM,AK
2001,LILLESTRØM,AK
2003,LILLESTRØM,AK
2004,LILLESTRØM,AK
2005,RÆLINGEN,AK
2006,LØVENSTAD,AK
2007,KJELLER,AK
2008,FJERDINGBY,AK
2009,NORDBY,AK
2010,STRØMMEN,AK
2011,STRØMMEN,AK
2012,LILLESTRØM,AK
2013,SKJETTEN,AK
2014,BLYSTADLIA,AK
2015,LEIRSUND,AK
2016,FROGNER,AK
2017,FROGNER,AK
